,season,conference,division,team name
0,1970,NFC,NFC East,DAL
1,1970,NFC,NFC East,NYG
2,1970,NFC,NFC East,ARI
3,1970,NFC,NFC East,WSH
4,1970,NFC,NFC East,PHI
5,1970,NFC,NFC Central,MIN
6,1970,NFC,NFC Central,DET
7,1970,NFC,NFC Central,GB
8,1970,NFC,NFC Central,CHI
9,1970,NFC,NFC West,SF
10,1970,NFC,NFC West,LAR
11,1970,NFC,NFC West,ATL
12,1970,NFC,NFC West,NO
13,1970,AFC,AFC East,IND
14,1970,AFC,AFC East,MIA
15,1970,AFC,AFC East,NYJ
16,1970,AFC,AFC East,BUF
17,1970,AFC,AFC East,NE
18,1970,AFC,AFC Central,CIN
19,1970,AFC,AFC Central,CLE
20,1970,AFC,AFC Central,PIT
21,1970,AFC,AFC Central,TEN
22,1970,AFC,AFC West,OAK
23,1970,AFC,AFC West,KC
24,1970,AFC,AFC West,LAC
25,1970,AFC,AFC West,DEN
26,1971,NFC,NFC East,DAL
27,1971,NFC,NFC East,WSH
28,1971,NFC,NFC East,PHI
29,1971,NFC,NFC East,ARI
30,1971,NFC,NFC East,NYG
31,1971,NFC,NFC Central,MIN
32,1971,NFC,NFC Central,DET
33,1971,NFC,NFC Central,CHI
34,1971,NFC,NFC Central,GB
35,1971,NFC,NFC West,SF
36,1971,NFC,NFC West,LAR
37,1971,NFC,NFC West,ATL
38,1971,NFC,NFC West,NO
39,1971,AFC,AFC East,MIA
40,1971,AFC,AFC East,IND
41,1971,AFC,AFC East,NE
42,1971,AFC,AFC East,NYJ
43,1971,AFC,AFC East,BUF
44,1971,AFC,AFC Central,CLE
45,1971,AFC,AFC Central,PIT
46,1971,AFC,AFC Central,TEN
47,1971,AFC,AFC Central,CIN
48,1971,AFC,AFC West,KC
49,1971,AFC,AFC West,OAK
50,1971,AFC,AFC West,LAC
51,1971,AFC,AFC West,DEN
52,1972,NFC,NFC East,WSH
53,1972,NFC,NFC East,DAL
54,1972,NFC,NFC East,NYG
55,1972,NFC,NFC East,ARI
56,1972,NFC,NFC East,PHI
57,1972,NFC,NFC Central,GB
58,1972,NFC,NFC Central,DET
59,1972,NFC,NFC Central,MIN
60,1972,NFC,NFC Central,CHI
61,1972,NFC,NFC West,SF
62,1972,NFC,NFC West,ATL
63,1972,NFC,NFC West,LAR
64,1972,NFC,NFC West,NO
65,1972,AFC,AFC East,MIA
66,1972,AFC,AFC East,NYJ
67,1972,AFC,AFC East,IND
68,1972,AFC,AFC East,BUF
69,1972,AFC,AFC East,NE
70,1972,AFC,AFC Central,PIT
71,1972,AFC,AFC Central,CLE
72,1972,AFC,AFC Central,CIN
73,1972,AFC,AFC Central,TEN
74,1972,AFC,AFC West,OAK
75,1972,AFC,AFC West,KC
76,1972,AFC,AFC West,DEN
77,1972,AFC,AFC West,LAC
78,1973,NFC,NFC East,DAL
79,1973,NFC,NFC East,WSH
80,1973,NFC,NFC East,PHI
81,1973,NFC,NFC East,ARI
82,1973,NFC,NFC East,NYG
83,1973,NFC,NFC Central,MIN
84,1973,NFC,NFC Central,DET
85,1973,NFC,NFC Central,GB
86,1973,NFC,NFC Central,CHI
87,1973,NFC,NFC West,LAR
88,1973,NFC,NFC West,ATL
89,1973,NFC,NFC West,SF
90,1973,NFC,NFC West,NO
91,1973,AFC,AFC East,MIA
92,1973,AFC,AFC East,BUF
93,1973,AFC,AFC East,NE
94,1973,AFC,AFC East,NYJ
95,1973,AFC,AFC East,IND
96,1973,AFC,AFC Central,CIN
97,1973,AFC,AFC Central,PIT
98,1973,AFC,AFC Central,CLE
99,1973,AFC,AFC Central,TEN
100,1973,AFC,AFC West,OAK
101,1973,AFC,AFC West,KC
102,1973,AFC,AFC West,DEN
103,1973,AFC,AFC West,LAC
104,1974,NFC,NFC East,ARI
105,1974,NFC,NFC East,WSH
106,1974,NFC,NFC East,DAL
107,1974,NFC,NFC East,PHI
108,1974,NFC,NFC East,NYG
109,1974,NFC,NFC Central,MIN
110,1974,NFC,NFC Central,DET
111,1974,NFC,NFC Central,GB
112,1974,NFC,NFC Central,CHI
113,1974,NFC,NFC West,LAR
114,1974,NFC,NFC West,SF
115,1974,NFC,NFC West,NO
116,1974,NFC,NFC West,ATL
117,1974,AFC,AFC East,MIA
118,1974,AFC,AFC East,BUF
119,1974,AFC,AFC East,NE
120,1974,AFC,AFC East,NYJ
121,1974,AFC,AFC East,IND
122,1974,AFC,AFC Central,PIT
123,1974,AFC,AFC Central,TEN
124,1974,AFC,AFC Central,CIN
125,1974,AFC,AFC Central,CLE
126,1974,AFC,AFC West,OAK
127,1974,AFC,AFC West,DEN
128,1974,AFC,AFC West,KC
129,1974,AFC,AFC West,LAC
130,1975,NFC,NFC East,ARI
131,1975,NFC,NFC East,DAL
132,1975,NFC,NFC East,WSH
133,1975,NFC,NFC East,NYG
134,1975,NFC,NFC East,PHI
135,1975,NFC,NFC Central,MIN
136,1975,NFC,NFC Central,DET
137,1975,NFC,NFC Central,CHI
138,1975,NFC,NFC Central,GB
139,1975,NFC,NFC West,LAR
140,1975,NFC,NFC West,SF
141,1975,NFC,NFC West,ATL
142,1975,NFC,NFC West,NO
143,1975,AFC,AFC East,IND
144,1975,AFC,AFC East,MIA
145,1975,AFC,AFC East,BUF
146,1975,AFC,AFC East,NYJ
147,1975,AFC,AFC East,NE
148,1975,AFC,AFC Central,PIT
149,1975,AFC,AFC Central,CIN
150,1975,AFC,AFC Central,TEN
151,1975,AFC,AFC Central,CLE
152,1975,AFC,AFC West,OAK
153,1975,AFC,AFC West,DEN
154,1975,AFC,AFC West,KC
155,1975,AFC,AFC West,LAC
156,1976,NFC,NFC East,DAL
157,1976,NFC,NFC East,WSH
158,1976,NFC,NFC East,ARI
159,1976,NFC,NFC East,PHI
160,1976,NFC,NFC East,NYG
161,1976,NFC,NFC Central,MIN
162,1976,NFC,NFC Central,CHI
163,1976,NFC,NFC Central,DET
164,1976,NFC,NFC Central,GB
165,1976,NFC,NFC West,LAR
166,1976,NFC,NFC West,SF
167,1976,NFC,NFC West,ATL
168,1976,NFC,NFC West,NO
169,1976,NFC,NFC West,SEA
170,1976,AFC,AFC East,IND
171,1976,AFC,AFC East,NE
172,1976,AFC,AFC East,MIA
173,1976,AFC,AFC East,NYJ
174,1976,AFC,AFC East,BUF
175,1976,AFC,AFC Central,PIT
176,1976,AFC,AFC Central,CIN
177,1976,AFC,AFC Central,CLE
178,1976,AFC,AFC Central,TEN
179,1976,AFC,AFC West,OAK
180,1976,AFC,AFC West,DEN
181,1976,AFC,AFC West,LAC
182,1976,AFC,AFC West,KC
183,1976,AFC,AFC West,TB
184,1977,NFC,NFC East,DAL
185,1977,NFC,NFC East,WSH
186,1977,NFC,NFC East,ARI
187,1977,NFC,NFC East,PHI
188,1977,NFC,NFC East,NYG
189,1977,NFC,NFC Central,MIN
190,1977,NFC,NFC Central,CHI
191,1977,NFC,NFC Central,DET
192,1977,NFC,NFC Central,GB
193,1977,NFC,NFC Central,TB
194,1977,NFC,NFC West,LAR
195,1977,NFC,NFC West,ATL
196,1977,NFC,NFC West,SF
197,1977,NFC,NFC West,NO
198,1977,AFC,AFC East,IND
199,1977,AFC,AFC East,MIA
200,1977,AFC,AFC East,NE
201,1977,AFC,AFC East,BUF
202,1977,AFC,AFC East,NYJ
203,1977,AFC,AFC Central,PIT
204,1977,AFC,AFC Central,CIN
205,1977,AFC,AFC Central,TEN
206,1977,AFC,AFC Central,CLE
207,1977,AFC,AFC West,DEN
208,1977,AFC,AFC West,OAK
209,1977,AFC,AFC West,LAC
210,1977,AFC,AFC West,SEA
211,1977,AFC,AFC West,KC
212,1978,NFC,NFC East,DAL
213,1978,NFC,NFC East,PHI
214,1978,NFC,NFC East,WSH
215,1978,NFC,NFC East,ARI
216,1978,NFC,NFC East,NYG
217,1978,NFC,NFC Central,MIN
218,1978,NFC,NFC Central,GB
219,1978,NFC,NFC Central,DET
220,1978,NFC,NFC Central,CHI
221,1978,NFC,NFC Central,TB
222,1978,NFC,NFC West,LAR
223,1978,NFC,NFC West,ATL
224,1978,NFC,NFC West,NO
225,1978,NFC,NFC West,SF
226,1978,AFC,AFC East,NE
227,1978,AFC,AFC East,MIA
228,1978,AFC,AFC East,NYJ
229,1978,AFC,AFC East,BUF
230,1978,AFC,AFC East,IND
231,1978,AFC,AFC Central,PIT
232,1978,AFC,AFC Central,TEN
233,1978,AFC,AFC Central,CLE
234,1978,AFC,AFC Central,CIN
235,1978,AFC,AFC West,DEN
236,1978,AFC,AFC West,OAK
237,1978,AFC,AFC West,SEA
238,1978,AFC,AFC West,LAC
239,1978,AFC,AFC West,KC
240,1979,NFC,NFC East,DAL
241,1979,NFC,NFC East,PHI
242,1979,NFC,NFC East,WSH
243,1979,NFC,NFC East,NYG
244,1979,NFC,NFC East,ARI
245,1979,NFC,NFC Central,TB
246,1979,NFC,NFC Central,CHI
247,1979,NFC,NFC Central,MIN
248,1979,NFC,NFC Central,GB
249,1979,NFC,NFC Central,DET
250,1979,NFC,NFC West,LAR
251,1979,NFC,NFC West,NO
252,1979,NFC,NFC West,ATL
253,1979,NFC,NFC West,SF
254,1979,AFC,AFC East,MIA
255,1979,AFC,AFC East,NE
256,1979,AFC,AFC East,NYJ
257,1979,AFC,AFC East,BUF
258,1979,AFC,AFC East,IND
259,1979,AFC,AFC Central,PIT
260,1979,AFC,AFC Central,TEN
261,1979,AFC,AFC Central,CLE
262,1979,AFC,AFC Central,CIN
263,1979,AFC,AFC West,LAC
264,1979,AFC,AFC West,DEN
265,1979,AFC,AFC West,SEA
266,1979,AFC,AFC West,OAK
267,1979,AFC,AFC West,KC
268,1980,NFC,NFC East,PHI
269,1980,NFC,NFC East,DAL
270,1980,NFC,NFC East,WSH
271,1980,NFC,NFC East,ARI
272,1980,NFC,NFC East,NYG
273,1980,NFC,NFC Central,MIN
274,1980,NFC,NFC Central,DET
275,1980,NFC,NFC Central,CHI
276,1980,NFC,NFC Central,TB
277,1980,NFC,NFC Central,GB
278,1980,NFC,NFC West,ATL
279,1980,NFC,NFC West,LAR
280,1980,NFC,NFC West,SF
281,1980,NFC,NFC West,NO
282,1980,AFC,AFC East,BUF
283,1980,AFC,AFC East,NE
284,1980,AFC,AFC East,MIA
285,1980,AFC,AFC East,IND
286,1980,AFC,AFC East,NYJ
287,1980,AFC,AFC Central,CLE
288,1980,AFC,AFC Central,TEN
289,1980,AFC,AFC Central,PIT
290,1980,AFC,AFC Central,CIN
291,1980,AFC,AFC West,LAC
292,1980,AFC,AFC West,OAK
293,1980,AFC,AFC West,KC
294,1980,AFC,AFC West,DEN
295,1980,AFC,AFC West,SEA
296,1981,NFC,NFC East,DAL
297,1981,NFC,NFC East,PHI
298,1981,NFC,NFC East,NYG
299,1981,NFC,NFC East,WSH
300,1981,NFC,NFC East,ARI
301,1981,NFC,NFC Central,TB
302,1981,NFC,NFC Central,DET
303,1981,NFC,NFC Central,GB
304,1981,NFC,NFC Central,MIN
305,1981,NFC,NFC Central,CHI
306,1981,NFC,NFC West,SF
307,1981,NFC,NFC West,ATL
308,1981,NFC,NFC West,LAR
309,1981,NFC,NFC West,NO
310,1981,AFC,AFC East,MIA
311,1981,AFC,AFC East,NYJ
312,1981,AFC,AFC East,BUF
313,1981,AFC,AFC East,IND
314,1981,AFC,AFC East,NE
315,1981,AFC,AFC Central,CIN
316,1981,AFC,AFC Central,PIT
317,1981,AFC,AFC Central,TEN
318,1981,AFC,AFC Central,CLE
319,1981,AFC,AFC West,LAC
320,1981,AFC,AFC West,DEN
321,1981,AFC,AFC West,KC
322,1981,AFC,AFC West,OAK
323,1981,AFC,AFC West,SEA
324,1982,NFC,NFC East,WSH
325,1982,NFC,NFC East,DAL
326,1982,NFC,NFC East,ARI
327,1982,NFC,NFC East,NYG
328,1982,NFC,NFC East,PHI
329,1982,NFC,NFC Central,GB
330,1982,NFC,NFC Central,MIN
331,1982,NFC,NFC Central,TB
332,1982,NFC,NFC Central,DET
333,1982,NFC,NFC Central,CHI
334,1982,NFC,NFC West,ATL
335,1982,NFC,NFC West,NO
336,1982,NFC,NFC West,SF
337,1982,NFC,NFC West,LAR
338,1982,AFC,AFC East,MIA
339,1982,AFC,AFC East,NYJ
340,1982,AFC,AFC East,NE
341,1982,AFC,AFC East,BUF
342,1982,AFC,AFC East,IND
343,1982,AFC,AFC Central,CIN
344,1982,AFC,AFC Central,PIT
345,1982,AFC,AFC Central,CLE
346,1982,AFC,AFC Central,TEN
347,1982,AFC,AFC West,OAK
348,1982,AFC,AFC West,LAC
349,1982,AFC,AFC West,SEA
350,1982,AFC,AFC West,KC
351,1982,AFC,AFC West,DEN
352,1983,NFC,NFC East,WSH
353,1983,NFC,NFC East,DAL
354,1983,NFC,NFC East,ARI
355,1983,NFC,NFC East,PHI
356,1983,NFC,NFC East,NYG
357,1983,NFC,NFC Central,DET
358,1983,NFC,NFC Central,GB
359,1983,NFC,NFC Central,CHI
360,1983,NFC,NFC Central,MIN
361,1983,NFC,NFC Central,TB
362,1983,NFC,NFC West,SF
363,1983,NFC,NFC West,LAR
364,1983,NFC,NFC West,NO
365,1983,NFC,NFC West,ATL
366,1983,AFC,AFC East,MIA
367,1983,AFC,AFC East,NE
368,1983,AFC,AFC East,BUF
369,1983,AFC,AFC East,IND
370,1983,AFC,AFC East,NYJ
371,1983,AFC,AFC Central,PIT
372,1983,AFC,AFC Central,CLE
373,1983,AFC,AFC Central,CIN
374,1983,AFC,AFC Central,TEN
375,1983,AFC,AFC West,OAK
376,1983,AFC,AFC West,SEA
377,1983,AFC,AFC West,DEN
378,1983,AFC,AFC West,LAC
379,1983,AFC,AFC West,KC
380,1984,NFC,NFC East,WSH
381,1984,NFC,NFC East,NYG
382,1984,NFC,NFC East,ARI
383,1984,NFC,NFC East,DAL
384,1984,NFC,NFC East,PHI
385,1984,NFC,NFC Central,CHI
386,1984,NFC,NFC Central,GB
387,1984,NFC,NFC Central,TB
388,1984,NFC,NFC Central,DET
389,1984,NFC,NFC Central,MIN
390,1984,NFC,NFC West,SF
391,1984,NFC,NFC West,LAR
392,1984,NFC,NFC West,NO
393,1984,NFC,NFC West,ATL
394,1984,AFC,AFC East,MIA
395,1984,AFC,AFC East,NE
396,1984,AFC,AFC East,NYJ
397,1984,AFC,AFC East,IND
398,1984,AFC,AFC East,BUF
399,1984,AFC,AFC Central,PIT
400,1984,AFC,AFC Central,CIN
401,1984,AFC,AFC Central,CLE
402,1984,AFC,AFC Central,TEN
403,1984,AFC,AFC West,DEN
404,1984,AFC,AFC West,SEA
405,1984,AFC,AFC West,OAK
406,1984,AFC,AFC West,KC
407,1984,AFC,AFC West,LAC
408,1985,NFC,NFC East,DAL
409,1985,NFC,NFC East,NYG
410,1985,NFC,NFC East,WSH
411,1985,NFC,NFC East,PHI
412,1985,NFC,NFC East,ARI
413,1985,NFC,NFC Central,CHI
414,1985,NFC,NFC Central,GB
415,1985,NFC,NFC Central,MIN
416,1985,NFC,NFC Central,DET
417,1985,NFC,NFC Central,TB
418,1985,NFC,NFC West,LAR
419,1985,NFC,NFC West,SF
420,1985,NFC,NFC West,NO
421,1985,NFC,NFC West,ATL
422,1985,AFC,AFC East,MIA
423,1985,AFC,AFC East,NYJ
424,1985,AFC,AFC East,NE
425,1985,AFC,AFC East,IND
426,1985,AFC,AFC East,BUF
427,1985,AFC,AFC Central,CLE
428,1985,AFC,AFC Central,CIN
429,1985,AFC,AFC Central,PIT
430,1985,AFC,AFC Central,TEN
431,1985,AFC,AFC West,OAK
432,1985,AFC,AFC West,DEN
433,1985,AFC,AFC West,SEA
434,1985,AFC,AFC West,LAC
435,1985,AFC,AFC West,KC
436,1986,NFC,NFC East,NYG
437,1986,NFC,NFC East,WSH
438,1986,NFC,NFC East,DAL
439,1986,NFC,NFC East,PHI
440,1986,NFC,NFC East,ARI
441,1986,NFC,NFC Central,CHI
442,1986,NFC,NFC Central,MIN
443,1986,NFC,NFC Central,DET
444,1986,NFC,NFC Central,GB
445,1986,NFC,NFC Central,TB
446,1986,NFC,NFC West,SF
447,1986,NFC,NFC West,LAR
448,1986,NFC,NFC West,ATL
449,1986,NFC,NFC West,NO
450,1986,AFC,AFC East,NE
451,1986,AFC,AFC East,NYJ
452,1986,AFC,AFC East,MIA
453,1986,AFC,AFC East,BUF
454,1986,AFC,AFC East,IND
455,1986,AFC,AFC Central,CLE
456,1986,AFC,AFC Central,CIN
457,1986,AFC,AFC Central,PIT
458,1986,AFC,AFC Central,TEN
459,1986,AFC,AFC West,DEN
460,1986,AFC,AFC West,KC
461,1986,AFC,AFC West,SEA
462,1986,AFC,AFC West,OAK
463,1986,AFC,AFC West,LAC
464,1987,NFC,NFC East,WSH
465,1987,NFC,NFC East,DAL
466,1987,NFC,NFC East,ARI
467,1987,NFC,NFC East,PHI
468,1987,NFC,NFC East,NYG
469,1987,NFC,NFC Central,CHI
470,1987,NFC,NFC Central,MIN
471,1987,NFC,NFC Central,GB
472,1987,NFC,NFC Central,TB
473,1987,NFC,NFC Central,DET
474,1987,NFC,NFC West,SF
475,1987,NFC,NFC West,NO
476,1987,NFC,NFC West,LAR
477,1987,NFC,NFC West,ATL
478,1987,AFC,AFC East,IND
479,1987,AFC,AFC East,NE
480,1987,AFC,AFC East,MIA
481,1987,AFC,AFC East,BUF
482,1987,AFC,AFC East,NYJ
483,1987,AFC,AFC Central,CLE
484,1987,AFC,AFC Central,TEN
485,1987,AFC,AFC Central,PIT
486,1987,AFC,AFC Central,CIN
487,1987,AFC,AFC West,DEN
488,1987,AFC,AFC West,SEA
489,1987,AFC,AFC West,LAC
490,1987,AFC,AFC West,OAK
491,1987,AFC,AFC West,KC
492,1988,NFC,NFC East,PHI
493,1988,NFC,NFC East,NYG
494,1988,NFC,NFC East,WSH
495,1988,NFC,NFC East,ARI
496,1988,NFC,NFC East,DAL
497,1988,NFC,NFC Central,CHI
498,1988,NFC,NFC Central,MIN
499,1988,NFC,NFC Central,TB
500,1988,NFC,NFC Central,DET
501,1988,NFC,NFC Central,GB
502,1988,NFC,NFC West,SF
503,1988,NFC,NFC West,LAR
504,1988,NFC,NFC West,NO
505,1988,NFC,NFC West,ATL
506,1988,AFC,AFC East,BUF
507,1988,AFC,AFC East,IND
508,1988,AFC,AFC East,NE
509,1988,AFC,AFC East,NYJ
510,1988,AFC,AFC East,MIA
511,1988,AFC,AFC Central,CIN
512,1988,AFC,AFC Central,CLE
513,1988,AFC,AFC Central,TEN
514,1988,AFC,AFC Central,PIT
515,1988,AFC,AFC West,SEA
516,1988,AFC,AFC West,DEN
517,1988,AFC,AFC West,OAK
518,1988,AFC,AFC West,LAC
519,1988,AFC,AFC West,KC
520,1989,NFC,NFC East,NYG
521,1989,NFC,NFC East,PHI
522,1989,NFC,NFC East,WSH
523,1989,NFC,NFC East,ARI
524,1989,NFC,NFC East,DAL
525,1989,NFC,NFC Central,MIN
526,1989,NFC,NFC Central,GB
527,1989,NFC,NFC Central,DET
528,1989,NFC,NFC Central,CHI
